district_name,real_estate_type,real_estate_area,total_rooms,number_of_parking,real_estate_age,price,facilities,floor
ونک,آپارتمان,230,3,1,2,47000000000,"آسانسور,انباری",3
ونک,آپارتمان,160,3,1,17,24400000000,"آسانسور,انباری",3
ونک,آپارتمان,84,2,1,7,11760000000,"آسانسور,انباری",2
ولنجک,آپارتمان,195,3,2,1,42900000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی",3
میرداماد,آپارتمان,117,2,1,0,23400000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",2
گیشا,آپارتمان,183,3,2,7,27000000000,"آسانسور,انباری,بالکن,اتاق مستر",3
آرژانتین,آپارتمان,86,4,0,1400,9100000000,"آسانسور,انباری",
ونک,آپارتمان,222,4,1,13,22200000000,"آسانسور,انباری",4
جنت آباد جنوبی,آپارتمان,103,2,1,18,10900000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,107,2,1,10,11800000000,"آسانسور,انباری,بالکن",2
جیحون,آپارتمان,52,1,0,12,3080000000,"آسانسور,انباری,بالکن",1
جردن,آپارتمان,170,3,2,4,25000000000,"آسانسور,انباری,سرایداری,نگهبانی,سالن اجتماعات,لابی,سونا,جکوزی,اطفا حریق,پارکینگ مهمان,نورپردازی,جاروبرقی مرکزی,اتاق مستر",3
جنت آباد جنوبی,آپارتمان,82,2,1,10,8300000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,120,2,1,12,12700000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,99,2,1,19,11500000000,"آسانسور,انباری,بالکن",2
دروس,آپارتمان,175,3,2,13,29750000000,"آسانسور,انباری,بالکن,استخر,سونا,جکوزی",3
پاتریس لومومبا,آپارتمان,70,2,1,18,5500000000,انباری,2
جنت آباد جنوبی,آپارتمان,107,2,1,10,11800000000,"آسانسور,انباری,بالکن",2
جنت آباد جنوبی,آپارتمان,90,2,1,17,6100000000,"انباری,بالکن",2
شهرزیبا,آپارتمان,120,2,1,11,12700000000,"آسانسور,انباری,بالکن",2
آرژانتین,آپارتمان,73,2,0,27,6600000000,"آسانسور,انباری",2
آرژانتین,آپارتمان,170,3,1,20,17000000000,"آسانسور,انباری",3
آرژانتین,آپارتمان,296,4,1,30,35520000000,"آسانسور,انباری",4
آرژانتین,آپارتمان,111,2,1,20,11000000000,"آسانسور,انباری",2
جردن,آپارتمان,200,3,1,12,30000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,جکوزی,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,آلاچیق,اتاق مستر",3
آرژانتین,آپارتمان,215,2,1,1399,25000000000,"آسانسور,انباری",
پاسداران,آپارتمان,88,2,1,18,8360000000,"آسانسور,انباری",2
دریان نو,آپارتمان,50,1,1,13,4000000000,,1
جردن,آپارتمان,111,2,2,16,13000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,اتاق مستر",2
ولنجک,آپارتمان,318,4,2,2,117660000000,,4
شهرک نفت,آپارتمان,85,2,1,18,7300000000,"انباری,بالکن",2
پاسداران,آپارتمان,198,3,1,15,19000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",3
ستارخان,آپارتمان,201,3,1,12,22000000000,"آسانسور,انباری,بالکن,آبنما,نورپردازی",3
چیتگر,آپارتمان,100,2,1,0,8000000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,جاروبرقی مرکزی,اتاق مستر,پاسیو",2
شهرزیبا,آپارتمان,62,1,1,7,5800000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات",1
جردن,آپارتمان,76,2,0,22,8600000000,"آسانسور,انباری,سرایداری,اتاق مستر",2
چیتگر,آپارتمان,75,2,1,0,500000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,سالن اجتماعات,لابی,استخر,سونا,جکوزی,روف گاردن,اعلام حریق,اطفا حریق,آبنما,لابی من,پارکینگ مهمان,نورپردازی,باشگاه,آلاچیق,اتاق مستر,پاسیو",2
دولت ( کلاهدوز ),آپارتمان,135,3,1,15,17000000000,"آسانسور,انباری,سرایداری,نگهبانی,لابی",3
زعفرانیه,آپارتمان,285,4,0,12,69825000000,"انباری,بالکن,سرایداری,لابی,استخر,سونا,جکوزی,اتاق مستر",
جردن,آپارتمان,110,2,1,14,14100000000,"آسانسور,انباری,بالکن,سرایداری,نگهبانی,لابی,جکوزی,پارکینگ مهمان,آلاچیق",2
سعادت آباد,آپارتمان,96,2,1,20,11000000000,"آسانسور,انباری,بالکن,سرایداری,لابی,نورپردازی",2
رستم آباد و اختیاریه,آپارتمان,150,3,2,7,21500000000,"آسانسور,انباری,بالکن,سرایداری,لابی,اتاق مستر",
